 
G06, C/N0=35.5, peak=1.3, codei= 3136, freq= -6800.0
G14, C/N0=34.8, peak=1.1, codei= 1825, freq=     0.0

G15, C/N0=36.0, peak=1.1, codei= 2684, freq=     0.0

G16, C/N0=35.4, peak=1.0, codei=  148, freq=     0.0

G25, C/N0=35.7, peak=1.1, codei= 1442, freq=     0.0

G17, C/N0=35.4, peak=1.1, codei= 1589, freq=     0.0

G26, C/N0=35.2, peak=1.0, codei= 1230, freq=     0.0

G18, C/N0=35.3, peak=1.1, codei= 2441, freq=     0.0

G27, C/N0=35.6, peak=1.2, codei= 2371, freq=     0.0

G06, C/N0=35.4, peak=1.0, codei= 2043, freq=     0.0

G19, C/N0=35.8, peak=1.3, codei=   93, freq=     0.0

G28, C/N0=35.2, peak=1.2, codei= 1899, freq=     0.0

G02, C/N0=35.0, peak=1.3, codei= 2036, freq= -1800.0

G29, C/N0=36.0, peak=1.1, codei=  245, freq=     0.0

G20, C/N0=34.6, peak=1.2, codei= 3483, freq=  1000.0

G07, C/N0=35.2, peak=1.5, codei=  379, freq= -3400.0

G30, C/N0=35.0, peak=1.3, codei= 3281, freq=  4800.0

G21, C/N0=35.4, peak=1.2, codei= 1633, freq=     0.0

G31, C/N0=35.5, peak=1.1, codei=  259, freq=     0.0

G08, C/N0=34.8, peak=1.3, codei= 2822, freq=  2800.0

G32, C/N0=35.4, peak=1.1, codei= 2078, freq=     0.0

G22, C/N0=35.8, peak=1.0, codei= 2171, freq=     0.0

G03, C/N0=35.7, peak=1.2, codei= 1081, freq=     0.0

G09, C/N0=35.2, peak=1.3, codei= 1631, freq=  2800.0

G04, C/N0=35.7, peak=1.1, codei= 1663, freq=     0.0

G23, C/N0=36.3, peak=1.3, codei= 1012, freq=     0.0

G10, C/N0=35.2, peak=1.0, codei=  848, freq=     0.0

G11, C/N0=35.3, peak=1.0, codei= 2117, freq=     0.0

G01, C/N0=35.5, peak=1.3, codei= 2103, freq= -6800.0

G12, C/N0=35.7, peak=1.1, codei= 3958, freq=     0.0

G05, C/N0=35.5, peak=1.5, codei= 1778, freq= -4800.0

G13, C/N0=36.5, peak=1.3, codei= 2036, freq=     0.0

G24, C/N0=35.0, peak=1.3, codei= 2741, freq=  3600.0

G14, C/N0=35.0, peak=1.0, codei= 3914, freq=     0.0

G15, C/N0=36.2, peak=1.1, codei= 2347, freq=     0.0

G16, C/N0=36.2, peak=1.2, codei=   82, freq=     0.0

G25, C/N0=35.4, peak=1.1, codei= 3564, freq=     0.0

G17, C/N0=35.3, peak=1.0, codei= 2496, freq=     0.0

G26, C/N0=35.0, peak=1.1, codei= 2931, freq=   400.0

G18, C/N0=35.6, peak=1.2, codei= 3972, freq=     0.0

G27, C/N0=35.5, peak=1.2, codei= 1144, freq=     0.0

G06, C/N0=34.7, peak=1.3, codei= 2639, freq= -2600.0

G19, C/N0=35.0, peak=1.3, codei= 3168, freq=  4000.0

G28, C/N0=35.6, peak=1.0, codei= 1671, freq=     0.0

G02, C/N0=35.7, peak=1.1, codei= 3080, freq=     0.0

G29, C/N0=35.3, peak=1.0, codei= 2899, freq=     0.0

G20, C/N0=35.3, peak=1.0, codei= 2731, freq=     0.0

G07, C/N0=35.0, peak=1.0, codei= 1674, freq=     0.0

G30, C/N0=35.9, peak=1.2, codei= 3153, freq=     0.0

G21, C/N0=35.8, peak=1.1, codei= 3811, freq=     0.0

G31, C/N0=35.2, peak=1.0, codei=  170, freq=     0.0

G08, C/N0=35.2, peak=1.0, codei= 2699, freq=     0.0

G32, C/N0=35.3, peak=1.1, codei= 2475, freq=     0.0

G22, C/N0=36.0, peak=1.2, codei= 3621, freq=     0.0

G03, C/N0=35.6, peak=1.1, codei= 3143, freq=     0.0

G09, C/N0=35.5, peak=1.1, codei=  888, freq=     0.0

G04, C/N0=34.7, peak=1.1, codei=  931, freq= -1000.0

G23, C/N0=35.0, peak=1.1, codei= 1340, freq=     0.0

G10, C/N0=35.7, peak=1.0, codei= 2487, freq=     0.0

G11, C/N0=36.0, peak=1.3, codei= 3223, freq=     0.0

G01, C/N0=35.6, peak=1.1, codei= 3164, freq=     0.0

G12, C/N0=35.2, peak=1.0, codei= 2139, freq=     0.0

G05, C/N0=35.2, peak=1.1, codei= 2057, freq=     0.0

G13, C/N0=36.3, peak=1.4, codei= 1100, freq=     0.0

G24, C/N0=36.2, peak=1.2, codei=  732, freq=     0.0

G14, C/N0=35.7, peak=1.1, codei= 1822, freq=     0.0

G15, C/N0=34.9, peak=1.0, codei=  117, freq=     0.0

G16, C/N0=35.7, peak=1.2, codei= 1632, freq=     0.0

G25, C/N0=35.8, peak=1.2, codei= 1760, freq=     0.0

G17, C/N0=35.4, peak=1.1, codei= 3246, freq=     0.0

G26, C/N0=36.0, peak=1.0, codei= 2675, freq=     0.0

G18, C/N0=35.0, peak=1.4, codei= 1435, freq= -5200.0

G27, C/N0=35.2, peak=1.0, codei= 2297, freq=     0.0

G06, C/N0=35.1, peak=1.1, codei= 1321, freq= -1200.0

G19, C/N0=35.0, peak=1.1, codei= 2940, freq=  1600.0

G28, C/N0=35.3, peak=1.3, codei= 3991, freq=  4800.0

G02, C/N0=35.8, peak=1.2, codei=   46, freq=     0.0

G29, C/N0=35.3, peak=1.1, codei= 3261, freq=     0.0

G20, C/N0=35.6, peak=1.0, codei= 3109, freq=     0.0

G07, C/N0=34.9, peak=1.0, codei= 3250, freq=     0.0

G30, C/N0=35.6, peak=1.0, codei=  842, freq=     0.0

G21, C/N0=35.8, peak=1.1, codei=  574, freq=     0.0

G31, C/N0=35.1, peak=1.1, codei= 3879, freq=     0.0

G08, C/N0=35.1, peak=1.4, codei= 2456, freq= -6400.0

G32, C/N0=35.5, peak=1.0, codei= 1930, freq=     0.0

G22, C/N0=35.4, peak=1.0, codei= 2536, freq=     0.0

G03, C/N0=36.0, peak=1.1, codei= 2696, freq=     0.0

G09, C/N0=35.6, peak=1.1, codei= 3182, freq=     0.0

G04, C/N0=35.0, peak=1.0, codei= 3068, freq=     0.0

G23, C/N0=36.9, peak=1.5, codei= 3270, freq=     0.0

G10, C/N0=35.4, peak=1.1, codei= 1135, freq=     0.0

G11, C/N0=34.7, peak=1.1, codei=  849, freq=  1400.0

G01, C/N0=36.2, peak=1.4, codei= 2991, freq= -1200.0

G12, C/N0=35.3, peak=1.1, codei= 2322, freq=     0.0

G05, C/N0=35.4, peak=1.1, codei=  878, freq=     0.0

G13, C/N0=35.3, peak=1.2, codei= 2924, freq=  3400.0

G24, C/N0=36.1, peak=1.3, codei= 2185, freq=     0.0

G14, C/N0=34.7, peak=1.0, codei= 2222, freq=     0.0

G15, C/N0=35.7, peak=1.0, codei=  934, freq=     0.0

G16, C/N0=35.0, peak=1.2, codei= 3106, freq=  6800.0

G25, C/N0=35.4, peak=1.3, codei= 2857, freq=  7000.0

G17, C/N0=35.1, peak=1.0, codei= 3442, freq=     0.0

G26, C/N0=35.3, peak=1.1, codei= 2835, freq=     0.0

G18, C/N0=35.3, peak=1.4, codei= 2784, freq=  3200.0

G27, C/N0=36.4, peak=1.4, codei= 1208, freq=     0.0

G06, C/N0=35.0, peak=1.3, codei= 3187, freq= -3000.0

G19, C/N0=35.3, peak=1.3, codei= 3370, freq= -3200.0

G28, C/N0=36.0, peak=1.2, codei= 2527, freq=     0.0

G02, C/N0=36.3, peak=1.1, codei= 1792, freq=     0.0

G29, C/N0=34.9, peak=1.2, codei= 3028, freq= -4800.0

G20, C/N0=36.0, peak=1.0, codei= 3195, freq=     0.0

G07, C/N0=35.3, peak=1.0, codei= 1448, freq=     0.0

G30, C/N0=36.0, peak=1.3, codei= 3450, freq=     0.0

G21, C/N0=36.0, peak=1.1, codei= 2666, freq=     0.0

G31, C/N0=35.2, peak=1.1, codei= 2623, freq=     0.0

G08, C/N0=34.7, peak=1.0, codei= 3350, freq=     0.0

G32, C/N0=34.8, peak=1.2, codei= 3874, freq= -1600.0

G22, C/N0=36.2, peak=1.2, codei= 1749, freq=     0.0

G03, C/N0=35.3, peak=1.1, codei= 1363, freq=     0.0

G09, C/N0=35.2, peak=1.3, codei=  864, freq=  3800.0

G04, C/N0=35.7, peak=1.6, codei= 3361, freq=  1600.0

G23, C/N0=35.1, peak=1.0, codei=  165, freq=     0.0

G10, C/N0=36.6, peak=1.5, codei= 2513, freq=     0.0

G11, C/N0=36.3, peak=1.1, codei=  475, freq=     0.0

G01, C/N0=34.9, peak=1.0, codei=  516, freq=     0.0

G12, C/N0=35.1, peak=1.1, codei=  374, freq=     0.0

G05, C/N0=35.6, peak=1.0, codei= 3025, freq=     0.0

G13, C/N0=36.3, peak=1.3, codei=  229, freq=     0.0

G24, C/N0=35.7, peak=1.2, codei= 2821, freq=     0.0

G14, C/N0=36.0, peak=1.2, codei= 3584, freq=     0.0

G15, C/N0=34.8, peak=1.1, codei= 3309, freq=  2200.0

G16, C/N0=35.2, peak=1.0, codei=  745, freq=     0.0

G25, C/N0=35.6, peak=1.0, codei= 3823, freq=     0.0

G17, C/N0=35.1, peak=1.1, codei= 3378, freq=  -800.0

G26, C/N0=35.6, peak=1.2, codei= 3693, freq=     0.0

G18, C/N0=35.2, peak=1.1, codei=  621, freq=     0.0

G27, C/N0=35.7, peak=1.0, codei=  379, freq=     0.0

G06, C/N0=35.8, peak=1.1, codei= 3231, freq=     0.0

G19, C/N0=35.6, peak=1.1, codei= 3732, freq=     0.0

G28, C/N0=34.8, peak=1.0, codei= 2757, freq=     0.0

G02, C/N0=35.5, peak=1.4, codei= 3574, freq=  5600.0

G29, C/N0=35.1, peak=1.2, codei= 3516, freq= -6000.0

G20, C/N0=35.1, peak=1.1, codei= 2748, freq=     0.0

G07, C/N0=35.4, peak=1.0, codei= 2394, freq=     0.0

G30, C/N0=35.4, peak=1.0, codei= 2379, freq=     0.0

G21, C/N0=34.7, peak=1.0, codei= 1059, freq=     0.0

G31, C/N0=37.0, peak=1.7, codei= 3595, freq=     0.0

G08, C/N0=36.1, peak=1.2, codei= 2315, freq=     0.0

G32, C/N0=35.7, peak=1.2, codei= 3649, freq=     0.0

G22, C/N0=36.0, peak=1.1, codei= 3432, freq=     0.0

G03, C/N0=36.2, peak=1.1, codei= 3881, freq=     0.0

G09, C/N0=36.1, peak=1.1, codei= 2042, freq=     0.0

G04, C/N0=35.2, peak=1.0, codei= 2311, freq=     0.0

G23, C/N0=35.9, peak=1.1, codei= 1524, freq=     0.0

G10, C/N0=35.9, peak=1.1, codei= 1488, freq=     0.0

G11, C/N0=35.1, peak=1.1, codei=  463, freq=     0.0

G01, C/N0=35.7, peak=1.1, codei= 2903, freq=     0.0

G12, C/N0=36.9, peak=1.3, codei= 1895, freq=     0.0

G05, C/N0=35.4, peak=1.0, codei=  299, freq=     0.0

G13, C/N0=35.2, peak=1.0, codei= 3496, freq=     0.0

G24, C/N0=35.4, peak=1.1, codei= 2040, freq=     0.0

G14, C/N0=35.4, peak=1.1, codei= 1268, freq=     0.0

G15, C/N0=35.6, peak=1.3, codei= 3385, freq=     0.0

G16, C/N0=35.2, peak=1.1, codei= 3246, freq=     0.0

G25, C/N0=35.0, peak=1.0, codei= 3564, freq=     0.0

G17, C/N0=35.8, peak=1.4, codei= 3803, freq=  -800.0

G26, C/N0=35.1, peak=1.0, codei= 3668, freq=     0.0

G18, C/N0=35.8, peak=1.1, codei= 3430, freq=     0.0

G27, C/N0=36.0, peak=1.2, codei= 1442, freq=     0.0

G06, C/N0=35.4, peak=1.0, codei= 3316, freq=     0.0

G19, C/N0=35.7, peak=1.4, codei= 3748, freq= -6800.0

G28, C/N0=35.1, peak=1.3, codei=   74, freq=  5600.0

G02, C/N0=35.0, peak=1.1, codei= 3083, freq=     0.0

G29, C/N0=35.4, peak=1.1, codei= 1350, freq=     0.0

G20, C/N0=35.5, peak=1.2, codei=  845, freq=     0.0

G07, C/N0=34.8, peak=1.2, codei= 2514, freq=   800.0

G30, C/N0=35.7, peak=1.2, codei=  903, freq=     0.0

G21, C/N0=35.3, peak=1.1, codei= 3612, freq=     0.0

G31, C/N0=35.7, peak=1.1, codei= 1549, freq=     0.0

G08, C/N0=35.3, peak=1.0, codei=  965, freq=     0.0

G32, C/N0=35.1, peak=1.3, codei=  438, freq=   800.0

G22, C/N0=35.2, peak=1.1, codei=  520, freq=     0.0

G03, C/N0=35.8, peak=1.0, codei=  896, freq=     0.0

G09, C/N0=35.6, peak=1.1, codei=   33, freq=     0.0

G04, C/N0=35.2, peak=1.0, codei=  555, freq=     0.0

G23, C/N0=34.6, peak=1.1, codei=  649, freq= -2000.0

G10, C/N0=35.8, peak=1.1, codei= 3121, freq=     0.0

G11, C/N0=35.5, peak=1.0, codei= 3145, freq=     0.0

G01, C/N0=34.9, peak=1.1, codei=  571, freq=  4000.0

G12, C/N0=35.5, peak=1.1, codei= 2588, freq=     0.0

G05, C/N0=36.0, peak=1.1, codei= 1502, freq=     0.0

G13, C/N0=35.2, peak=1.0, codei=  684, freq=     0.0

G24, C/N0=34.8, peak=1.1, codei= 1148, freq= -5200.0

G14, C/N0=35.1, peak=1.0, codei= 2867, freq=     0.0

G15, C/N0=35.4, peak=1.0, codei=  794, freq=     0.0

G16, C/N0=36.1, peak=1.2, codei=  854, freq=     0.0

end of file!

SDR syncthread finished!

SDR channel G11 thread finished!

SDR channel G01 thread finished!

SDR channel G12 thread finished!

G25, C/N0=35.3, peak=1.1, codei= 2185, freq=     0.0

G17, C/N0=35.2, peak=1.0, codei= 2588, freq=  2800.0

SDR channel G05 thread finished!

SDR channel G13 thread finished!

G26, C/N0=35.2, peak=1.1, codei= 3899, freq=     0.0

SDR channel G24 thread finished!

G18, C/N0=35.3, peak=1.1, codei= 2815, freq=     0.0

SDR channel G14 thread finished!

SDR channel G15 thread finished!

G27, C/N0=36.9, peak=1.2, codei= 2335, freq=     0.0

SDR channel G16 thread finished!

G06, C/N0=35.6, peak=1.1, codei= 1463, freq=     0.0

G19, C/N0=35.1, peak=1.0, codei= 2459, freq=     0.0

SDR channel G25 thread finished!

G28, C/N0=35.9, peak=1.0, codei= 1522, freq=     0.0

G02, C/N0=35.5, peak=1.0, codei= 2182, freq=     0.0

SDR channel G17 thread finished!

G29, C/N0=35.2, peak=1.3, codei= 1328, freq= -5400.0

G20, C/N0=35.8, peak=1.0, codei= 1037, freq=     0.0

SDR channel G26 thread finished!

G07, C/N0=35.7, peak=1.2, codei= 1834, freq=     0.0

G30, C/N0=35.1, peak=1.0, codei= 3969, freq=     0.0

SDR channel G18 thread finished!

G21, C/N0=35.6, peak=1.1, codei= 3209, freq=     0.0

G31, C/N0=35.1, peak=1.1, codei= 1219, freq=     0.0

G08, C/N0=35.5, peak=1.0, codei= 1122, freq=     0.0

G32, C/N0=35.2, peak=1.1, codei= 2518, freq=     0.0

SDR channel G27 thread finished!

G22, C/N0=35.1, peak=1.4, codei= 1509, freq=  3000.0

G03, C/N0=35.2, peak=1.2, codei= 3345, freq=  -600.0

SDR channel G06 thread finished!

G09, C/N0=35.7, peak=1.1, codei= 3108, freq=     0.0

G04, C/N0=35.9, peak=1.1, codei= 2518, freq=     0.0

G23, C/N0=35.6, peak=1.1, codei= 1836, freq=     0.0

G10, C/N0=35.4, peak=1.1, codei=  633, freq=     0.0

SDR channel G19 thread finished!

SDR channel G28 thread finished!

SDR channel G02 thread finished!

SDR channel G29 thread finished!

SDR channel G20 thread finished!

SDR channel G07 thread finished!

SDR channel G30 thread finished!

SDR channel G21 thread finished!

SDR channel G31 thread finished!

SDR channel G08 thread finished!

SDR channel G32 thread finished!

SDR channel G22 thread finished!

SDR channel G03 thread finished!

SDR channel G09 thread finished!

SDR channel G04 thread finished!

SDR channel G23 thread finished!

SDR channel G10 thread finished!

GNSS-SDRLIB is finished!

